CPU (user): 4653.234375	CPU (sys): 2996.078125	RAM: 277.5390625
CPU (user): 4666.59375	CPU (sys): 3005.40625	RAM: 277.5390625
CPU (user): 4674.59375	CPU (sys): 3011.40625	RAM: 277.5390625
CPU (user): 4679.96875	CPU (sys): 3015.640625	RAM: 277.5390625
CPU (user): 4691.75	CPU (sys): 3023.59375	RAM: 277.54296875
CPU (user): 4705.875	CPU (sys): 3032.53125	RAM: 277.54296875
CPU (user): 4712.265625	CPU (sys): 3037.453125	RAM: 264.67578125
CPU (user): 4716.890625	CPU (sys): 3041.625	RAM: 277.54296875
CPU (user): 4785.859375	CPU (sys): 3085.8125	RAM: 300.1953125
CPU (user): 4824.234375	CPU (sys): 3110.8125	RAM: 265.91796875
CPU (user): 4841.0625	CPU (sys): 3121.578125	RAM: 295.8359375
CPU (user): 4851.609375	CPU (sys): 3128.53125	RAM: 277.546875
CPU (user): 4857.84375	CPU (sys): 3132.65625	RAM: 277.546875
CPU (user): 4865.09375	CPU (sys): 3138.3125	RAM: 277.55078125
CPU (user): 4870.765625	CPU (sys): 3143.0	RAM: 277.55078125
CPU (user): 4876.84375	CPU (sys): 3147.953125	RAM: 277.55078125
CPU (user): 4887.421875	CPU (sys): 3155.421875	RAM: 295.84375
CPU (user): 4895.046875	CPU (sys): 3163.078125	RAM: 268.83203125
CPU (user): 4902.453125	CPU (sys): 3168.96875	RAM: 277.55078125
CPU (user): 4911.609375	CPU (sys): 3175.484375	RAM: 277.55078125
CPU (user): 4922.234375	CPU (sys): 3182.6875	RAM: 264.47265625
CPU (user): 4929.65625	CPU (sys): 3188.625	RAM: 264.47265625
CPU (user): 4951.28125	CPU (sys): 3202.59375	RAM: 277.55078125
CPU (user): 4964.671875	CPU (sys): 3211.0625	RAM: 277.55078125
CPU (user): 4975.25	CPU (sys): 3218.546875	RAM: 277.5546875
CPU (user): 4994.359375	CPU (sys): 3232.796875	RAM: 264.5390625
CPU (user): 5003.234375	CPU (sys): 3238.578125	RAM: 291.48828125
CPU (user): 5007.953125	CPU (sys): 3243.140625	RAM: 291.48828125
CPU (user): 5030.96875	CPU (sys): 3257.765625	RAM: 268.04296875
CPU (user): 5084.859375	CPU (sys): 3291.15625	RAM: 300.11328125
CPU (user): 5102.296875	CPU (sys): 3301.96875	RAM: 291.5703125
CPU (user): 5106.875	CPU (sys): 3306.21875	RAM: 277.5546875
CPU (user): 5114.203125	CPU (sys): 3312.109375	RAM: 280.9140625
CPU (user): 5155.0625	CPU (sys): 3335.203125	RAM: 271.90625
CPU (user): 5174.140625	CPU (sys): 3348.578125	RAM: 282.26171875
CPU (user): 5193.03125	CPU (sys): 3362.109375	RAM: 267.48046875
CPU (user): 5200.640625	CPU (sys): 3368.4375	RAM: 286.09765625
CPU (user): 5213.09375	CPU (sys): 3378.1875	RAM: 287.72265625
CPU (user): 5226.03125	CPU (sys): 3388.03125	RAM: 286.27734375
CPU (user): 5233.796875	CPU (sys): 3395.359375	RAM: 286.37109375
CPU (user): 5238.78125	CPU (sys): 3399.53125	RAM: 284.24609375
CPU (user): 5243.953125	CPU (sys): 3404.84375	RAM: 285.3671875
CPU (user): 5276.09375	CPU (sys): 3425.5	RAM: 274.203125
CPU (user): 5325.359375	CPU (sys): 3455.3125	RAM: 286.5625
CPU (user): 5348.953125	CPU (sys): 3470.3125	RAM: 268.1484375
CPU (user): 5370.3125	CPU (sys): 3484.5625	RAM: 286.515625
CPU (user): 5389.0625	CPU (sys): 3497.65625	RAM: 288.4765625
CPU (user): 5396.328125	CPU (sys): 3504.265625	RAM: 287.421875
